Topic,Time,ConsumerCount,FileId
topic_priority,13:30:09.160,1,log-1
topic_priority,13:30:09.865,2,log-1
topic_priority,13:30:10.498,3,log-1
topic_priority,13:30:11.276,4,log-1
topic_priority,13:30:11.907,5,log-1
topic_priority,13:30:12.668,6,log-1
topic_priority,13:30:13.546,7,log-1
topic_priority,13:30:14.071,8,log-1
topic_priority,13:30:14.417,9,log-1
topic_priority,13:30:15.036,10,log-1
topic_priority,13:30:15.378,11,log-1
topic_priority,13:30:16.167,12,log-1
topic_priority,13:30:16.826,13,log-1
topic_priority,13:30:17.670,14,log-1
topic_priority,13:30:18.446,15,log-1
topic_priority,13:30:19.267,16,log-1
topic_priority,13:30:20.101,17,log-1
topic_priority,13:30:20.589,18,log-1
topic_priority,13:30:21.286,19,log-1
topic_priority,13:30:21.820,20,log-1
topic_priority,13:30:22.428,21,log-1
topic_priority,13:30:23.193,22,log-1
topic_priority,13:30:23.817,23,log-1
topic_priority,13:30:24.134,24,log-1
topic_priority,13:30:24.619,25,log-1
topic_priority,13:30:25.270,26,log-1
topic_priority,13:30:25.630,27,log-1
topic_priority,13:30:26.321,28,log-1
topic_priority,13:30:27.106,29,log-1
topic_priority,13:30:27.954,30,log-1
topic_priority,13:30:28.540,31,log-1
topic_priority,13:30:29.026,32,log-1
topic_priority,13:30:29.718,33,log-1
topic_priority,13:30:30.202,34,log-1
topic_priority,13:30:31.017,35,log-1
topic_priority,13:30:31.706,36,log-1
topic_priority,13:30:32.173,37,log-1
topic_priority,13:30:32.598,38,log-1
topic_priority,13:30:34.186,39,log-1
topic_priority,13:30:35.748,40,log-1
topic_priority,13:30:38.036,41,log-1
topic_priority,13:30:40.178,42,log-1
topic_priority,13:30:41.972,43,log-1
topic_priority,13:30:43.788,44,log-1
topic_priority,13:30:45.427,45,log-1
topic_priority,13:30:47.737,46,log-1
topic_priority,13:30:49.153,47,log-1
topic_priority,13:30:51.179,48,log-1
topic_priority,13:30:52.568,49,log-1
topic_priority,13:30:54.507,50,log-1
topic_priority,13:30:55.698,51,log-1
topic_priority,13:30:57.295,52,log-1
topic_priority,13:30:58.976,53,log-1
topic_priority,13:30:59.956,54,log-1
topic_priority,13:31:01.506,55,log-1
topic_priority,13:31:03.111,56,log-1
topic_priority,13:31:04.085,57,log-1
topic_priority,13:31:05.528,58,log-1
topic_priority,13:31:06.708,59,log-1
topic_priority,13:31:07.796,60,log-1
topic_priority,13:31:08.892,61,log-1
topic_priority,13:31:09.598,62,log-1
topic_priority,13:31:10.619,63,log-1
topic_priority,13:31:11.656,64,log-1
topic_priority,13:31:12.467,65,log-1
topic_priority,13:31:12.928,66,log-1
topic_priority,13:31:13.931,67,log-1
topic_priority,13:31:14.703,68,log-1
topic_priority,13:31:15.045,69,log-1
topic_priority,13:31:15.720,70,log-1
topic_priority,13:31:16.221,71,log-1
topic_priority,13:31:17.020,72,log-1
topic_priority,13:31:17.525,73,log-1
topic_priority,13:31:18.006,74,log-1
topic_priority,13:31:18.512,75,log-1
topic_priority,13:31:19.358,76,log-1
topic_priority,13:31:19.806,77,log-1
topic_priority,13:31:20.336,78,log-1
topic_priority,13:31:20.798,79,log-1
topic_priority,13:31:21.298,80,log-1
topic_priority,13:31:22.018,81,log-1
topic_priority,13:31:22.345,82,log-1
topic_priority,13:31:23.216,83,log-1
topic_priority,13:31:23.666,84,log-1
topic_priority,13:31:24.407,85,log-1
topic_priority,13:31:25.283,86,log-1
topic_priority,13:31:25.775,87,log-1
topic_priority,13:31:26.555,88,log-1
topic_priority,13:31:27.397,89,log-1
topic_priority,13:31:28.254,90,log-1
topic_priority,13:31:28.756,91,log-1
topic_priority,13:31:29.226,92,log-1
topic_priority,13:31:29.777,93,log-1
topic_priority,13:31:30.245,94,log-1
topic_priority,13:31:30.827,95,log-1
topic_priority,13:31:31.188,96,log-1
topic_priority,13:31:31.918,97,log-1
topic_priority,13:31:32.380,98,log-1
topic_priority,13:31:33.212,99,log-1
topic_priority,13:31:33.526,100,log-1
topic_priority,13:31:34.076,101,log-1
topic_priority,13:31:34.765,102,log-1
topic_priority,13:31:35.485,103,log-1
topic_priority,13:31:36.085,104,log-1
topic_priority,13:31:36.725,105,log-1
topic_priority,13:31:37.535,106,log-1
topic_priority,13:31:37.906,107,log-1
topic_priority,13:31:38.331,108,log-1
topic_priority,13:31:38.797,109,log-1
topic_priority,13:31:40.006,110,log-1
topic_priority,13:31:41.575,111,log-1
topic_priority,13:31:42.606,112,log-1
topic_priority,13:31:44.066,113,log-1
topic_priority,13:31:46.200,114,log-1
topic_priority,13:31:47.899,115,log-1
topic_priority,13:31:49.380,116,log-1
topic_priority,13:31:51.279,117,log-1
topic_priority,13:31:53.086,118,log-1
topic_priority,13:31:54.586,119,log-1
topic_priority,13:31:56.567,120,log-1
topic_priority,13:31:58.396,121,log-1
topic_priority,13:32:00.910,122,log-1
topic_priority,13:32:02.427,123,log-1
topic_priority,13:32:04.558,124,log-1
topic_priority,13:32:06.605,125,log-1
topic_priority,13:32:08.366,126,log-1
topic_priority,13:32:09.626,127,log-1
topic_priority,13:32:11.895,128,log-1
topic_priority,13:32:13.395,129,log-1
topic_priority,13:32:15.167,130,log-1
topic_priority,13:32:16.321,131,log-1
topic_priority,13:32:17.716,132,log-1
topic_priority,13:32:19.587,133,log-1
topic_priority,13:32:20.951,134,log-1
topic_priority,13:32:21.996,135,log-1
topic_priority,13:32:23.616,136,log-1
topic_priority,13:32:24.686,137,log-1
topic_priority,13:32:26.222,138,log-1
topic_priority,13:32:27.337,139,log-1
topic_priority,13:32:28.136,140,log-1
topic_priority,13:32:29.265,141,log-1
topic_priority,13:32:30.200,142,log-1
topic_priority,13:32:31.536,143,log-1
topic_priority,13:32:32.187,144,log-1
topic_priority,13:32:33.187,145,log-1
topic_priority,13:32:34.027,146,log-1
topic_priority,13:32:34.559,147,log-1
topic_priority,13:32:35.560,148,log-1
topic_priority,13:32:36.195,149,log-1
topic_priority,13:32:36.577,150,log-1
topic_priority,13:32:37.446,151,log-1
topic_priority,13:32:38.339,152,log-1
topic_priority,13:32:38.909,153,log-1
topic_priority,13:32:39.708,154,log-1
topic_priority,13:32:40.187,155,log-1
topic_priority,13:32:41.076,156,log-1
topic_priority,13:32:41.676,157,log-1
topic_priority,13:32:42.063,158,log-1
topic_priority,13:32:42.926,159,log-1
topic_priority,13:32:43.828,160,log-1
topic_priority,13:32:44.668,161,log-1
topic_priority,13:32:45.266,162,log-1
topic_priority,13:32:45.707,163,log-1
topic_priority,13:32:46.418,164,log-1
topic_priority,13:32:47.015,165,log-1
topic_priority,13:32:47.655,166,log-1
topic_priority,13:32:48.017,167,log-1
topic_priority,13:32:48.747,168,log-1
topic_priority,13:32:49.346,169,log-1
topic_priority,13:32:50.006,170,log-1
topic_priority,13:32:50.565,171,log-1
topic_priority,13:32:51.426,172,log-1
topic_priority,13:32:51.747,173,log-1
topic_priority,13:32:52.094,174,log-1
topic_priority,13:32:52.875,175,log-1
topic_priority,13:32:53.225,176,log-1
topic_priority,13:32:53.821,177,log-1
topic_priority,13:32:54.569,178,log-1
topic_priority,13:32:55.180,179,log-1
topic_priority,13:32:55.816,180,log-1
topic_priority,13:32:56.508,181,log-1
topic_priority,13:32:57.017,182,log-1
topic_priority,13:32:57.620,183,log-1
topic_priority,13:32:58.088,184,log-1
topic_priority,13:32:58.576,185,log-1
topic_priority,13:32:59.108,186,log-1
topic_priority,13:32:59.896,187,log-1
topic_priority,13:33:00.765,188,log-1
topic_priority,13:33:01.395,189,log-1
topic_priority,13:33:02.157,190,log-1
topic_priority,13:33:02.948,191,log-1
topic_priority,13:33:03.608,192,log-1
topic_priority,13:33:05.126,193,log-1
topic_priority,13:33:06.496,194,log-1
topic_priority,13:33:08.338,195,log-1
topic_priority,13:33:09.827,196,log-1
topic_priority,13:33:11.822,197,log-1
topic_priority,13:33:13.360,198,log-1
topic_priority,13:33:15.327,199,log-1
topic_priority,13:33:17.478,200,log-1
topic_normal,13:30:09.160,1,log-1
topic_normal,13:30:09.865,2,log-1
topic_normal,13:30:10.498,3,log-1
topic_normal,13:30:11.276,4,log-1
topic_normal,13:30:11.907,5,log-1
topic_normal,13:30:12.668,6,log-1
topic_normal,13:30:13.546,7,log-1
topic_normal,13:30:14.071,8,log-1
topic_normal,13:30:14.417,9,log-1
topic_normal,13:30:15.036,10,log-1
topic_normal,13:30:15.378,11,log-1
topic_normal,13:30:16.168,12,log-1
topic_normal,13:30:16.826,13,log-1
topic_normal,13:30:17.670,14,log-1
topic_normal,13:30:18.446,15,log-1
topic_normal,13:30:19.267,16,log-1
topic_normal,13:30:20.101,17,log-1
topic_normal,13:30:20.589,18,log-1
topic_normal,13:30:21.287,19,log-1
topic_normal,13:30:21.820,20,log-1
topic_normal,13:30:22.428,21,log-1
topic_normal,13:30:23.193,22,log-1
topic_normal,13:30:23.817,23,log-1
topic_normal,13:30:24.134,24,log-1
topic_normal,13:30:24.619,25,log-1
topic_normal,13:30:25.270,26,log-1
topic_normal,13:30:25.630,27,log-1
topic_normal,13:30:26.321,28,log-1
topic_normal,13:30:27.106,29,log-1
topic_normal,13:30:27.953,30,log-1
topic_normal,13:30:28.540,31,log-1
topic_normal,13:30:29.026,32,log-1
topic_normal,13:30:29.718,33,log-1
topic_normal,13:30:30.202,34,log-1
topic_normal,13:30:31.017,35,log-1
topic_normal,13:30:31.706,36,log-1
topic_normal,13:30:32.173,37,log-1
topic_normal,13:30:32.598,38,log-1
topic_normal,13:30:34.158,39,log-1
topic_normal,13:30:35.717,40,log-1
topic_normal,13:30:38.016,41,log-1
topic_normal,13:30:40.158,42,log-1
